1,2,3,4,5
73,60,73,66,63
62,69,75,74,60
65,65,73,60,68
69,61,72,75,63
64,62,70,74,73
60,61,63,74,66
74,73,69,62,62
62,60,73,62,74
72,70,60,67,66
69,68,70,69,61
63,63,65,64,75
68,63,73,64,68
75,72,62,74,60
62,67,64,74,61
69,68,62,63,61
70,61,72,68,65
66,64,72,70,63
74,75,74,70,67
65,65,72,60,69
70,67,67,63,67
62,70,68,67,60
65,73,74,66,62
66,74,70,60,72
63,65,69,72,72
63,70,67,70,68
60,62,69,67,63
61,73,70,75,67
62,70,62,63,70
74,62,63,61,69
66,74,61,66,61
65,63,67,61,74
60,65,72,65,68
70,70,64,67,64
67,65,75,69,73
63,71,65,63,64
69,61,68,73,73
70,75,63,61,71
74,66,60,66,75
68,67,62,65,74
64,65,61,74,74
61,67,65,70,62
64,60,62,61,62
69,75,73,66,70
71,62,63,63,71
61,60,67,66,73
63,67,66,66,63
68,60,66,74,66
65,71,68,73,70
73,65,65,75,63
74,74,74,68,60
64,65,67,61,67
70,69,66,65,70
60,66,62,60,64
64,70,62,69,61
67,75,60,75,61
73,71,68,75,73
61,62,61,72,70
60,68,60,60,71
71,67,63,72,75
67,63,73,73,67
66,66,67,70,61
67,60,63,67,64
69,67,62,72,62
65,60,60,66,73
62,63,73,63,73
67,61,68,63,62
74,63,71,69,70
68,72,71,66,60
75,61,70,60,68
63,64,74,68,72
61,61,62,73,61
67,66,61,68,70
70,74,73,62,70
66,74,64,71,74
66,60,62,68,61
70,68,71,72,65
65,68,74,64,70
61,71,73,68,72
63,63,70,65,62
69,71,71,71,60
66,73,68,66,70
68,70,60,62,73
67,75,70,66,73
75,60,75,62,70
65,73,70,63,64
68,70,67,67,74
75,60,71,71,66
72,66,74,70,74
72,66,65,75,72
70,65,72,70,70
61,72,60,61,67
68,66,75,68,71
65,64,64,71,74
66,73,69,71,63
73,75,75,73,75
72,65,74,63,75
71,66,63,71,74
73,70,75,68,70
74,61,61,73,65
60,73,72,72,71
71,62,67,66,62
73,65,67,71,69
64,74,69,68,70
75,73,65,75,75
70,62,62,62,62
70,75,63,71,72
69,61,60,65,71
69,70,64,63,62
71,71,68,65,60
60,64,71,69,66
63,63,72,67,73
75,72,62,75,69
75,69,75,64,65
64,61,62,62,73
71,70,69,69,74
65,68,62,64,71
71,63,70,65,71
72,75,67,62,65
72,71,60,60,72
63,64,61,68,66
72,70,64,62,64
74,71,64,75,72
64,72,61,71,63
67,66,74,71,71
71,67,74,63,71
